Date,AUD,CAD,CHF,EUR,GBP,IDR,JPY,KRW,MYR,NOK,NZD,PHP,RUB,SEK,SGD,THB,TRY,ZAR
20150716,1.032034192,1.595537203,0.996159991,1.306708383,0.386391941,0.383890966,0.524273342,0.444085334,-0.038659803,0.371883324,2.717425089,-0.021190781,0.494339441,0.458967091,0.327344911,0.423643564,0.360176895,0.525970437
20150715,-0.306974113,-0.127613949,0.363278948,0.199836497,-0.351800095,0.035358784,0.148270635,0.170397082,0.092254119,-0.379578737,0.059892592,0.06325331,0.008040256,-0.343338637,0.179799202,0.141108972,0.289405216,-0.392741212
20150714,-0.146592633,0.31283333,-0.372148739,0.163176503,-0.273233683,0.24367906,-0.04258791,0.721438148,-0.186902837,1.164414522,0.151013397,0.187276397,-0.088142129,0.372285431,0.477965489,-0.00465456,-0.876249472,-0.700643333
20150713,0.548121428,0.112582828,1.366319492,1.230880623,-0.075233681,0.092043689,0.801936213,0.585929123,0.331548876,1.265001475,0.619951953,0.079070333,0.67365231,0.997438884,0.425062667,0.291952268,-0.145092886,0.617629714
20150710,-0.110616318,0.167932032,-1.547558697,-1.171211444,-0.730503357,-0.276540265,0.727360965,-0.293904121,-0.031024238,-2.464308639,-0.140677701,-0.13390904,-0.865342205,-0.67087665,-0.218070626,0.017369453,-0.267473284,-0.355108977
20150709,-0.606820118,-0.4559724,0.11939857,-0.27139497,-0.229684972,-0.253921964,0.0414674,-0.28735806,-0.335538288,-0.837659927,-0.785647059,-0.05919793,-0.434579311,-0.589925121,-0.17779703,-0.27139497,-0.493822921,-0.477395031
20150708,0.126262415,0.032237807,-0.079623672,-0.843613933,0.501449379,0.168165101,-0.843613933,0.042726076,-0.244783217,0.116711747,-0.861656582,-0.184428033,-0.832901256,-0.164416923,-0.335839165,0.174155487,0.052367323,0.294727664
20150707,0.937530706,0.784032583,0.327574227,0.704418626,0.661747262,-0.139986754,-0.212363514,0.41818601,0.006979771,1.535191932,0.992320553,0.375842851,2.011887234,0.262690154,0.467482981,0.331409265,-0.298477988,0.466524314
20150706,0.396138907,0.460075243,0.375648834,0.799418605,0.487170335,0.169377094,-0.139247341,0.406507757,0.99410952,1.477109611,-0.057750325,0.119867431,1.218896925,0.770380938,0.28035519,0.194331651,-0.047521913,1.074408768
20150703,0.920393023,-0.284652543,-0.659528728,-0.2703677,-0.284408195,0.002343717,-0.591088634,-0.130994363,0.111582683,0.353296857,-0.366510022,-0.268372589,0.076880549,-0.007921299,-0.337018527,-0.105128865,-0.443665641,-0.523510813
20150702,1.10509868,0.747381369,0.786865132,0.307247425,0.4840813,-0.088883404,0.446736388,0.162442396,0.35769412,0.898066118,1.41939601,-0.162112679,0.542535526,1.413816669,0.180038928,-0.005402706,0.904073524,1.328642753
20150701,0.164429584,1.260687091,1.227738542,0.801801802,0.468818622,-0.060164426,0.52222597,0.447339593,-0.223301267,0.257144131,-0.008364964,0.298531721,-0.552083356,1.140907158,0.226479599,0.111049694,0.111908657,-0.002153455
20150630,-0.336097488,-0.045463314,-0.145684132,-0.500491554,-0.093224688,-0.031446553,-0.355035069,-0.373895771,-0.228505734,-0.675617016,1.212064529,-0.158283348,0.714936068,-0.820148807,-0.15592746,-0.074839346,-0.340786608,-0.513618716
20150629,-0.102323131,0.074945924,-0.064054057,0.619779035,0.082989536,0.234369574,-0.665377617,-0.084604991,-0.201006601,1.003999097,0.133514733,0.203435067,0.286859709,0.409070633,0.060039867,0.000670328,0.811930181,0.636006604
20150626,1.099844058,-0.158914091,-0.535543873,0.035707909,-0.006406478,0.084994313,0.079038421,1.093645044,0.769814679,0.189881328,0.874944001,-0.041472502,0.975424514,0.431401626,0.488237722,0.136193156,0.045763434,0.616191612
20150625,0.09012147,0.679106111,0.617890314,0.062466536,0.174927864,0.067363197,-0.232830458,0.142881917,-0.115445488,-0.045937322,-0.465567588,0.13179754,0.552817486,0.234092816,-0.130204039,-0.056419563,-0.328272019,-0.182615044
20150624,-0.527009257,-0.311542934,-0.080263979,-0.080263979,0.158946767,0.178418157,0.070998597,0.352819666,0.532243407,0.417874639,-0.592641601,-0.123762361,-0.054512104,-0.029257391,0.285961896,0.06769089,-0.240082284,-0.487221311
20150623,0.718101352,0.864505639,1.39433141,1.258479115,0.298013697,-0.097752954,0.47622477,0.442100766,0.254144217,1.067359816,0.625767191,0.2841339,0.843797434,1.058712785,0.355639495,0.306313103,-0.06685878,0.233485736
20150622,-0.234821184,-0.304900701,-0.538905817,-0.405464963,0.083154147,-0.202772213,0.031007962,-0.465232681,-0.294799136,-1.347750802,0.147399229,-0.131461093,-0.785499579,-0.3233492,-0.201134679,-0.112432127,-1.175701699,-0.907001565
20150619,1.074756951,0.914729019,0.813507991,0.929285778,0.464563239,0.084006716,0.38836135,0.25146118,1.089411329,0.86642641,0.892358177,0.349515745,1.480964558,0.947903376,0.424174114,0.187081266,-0.097611025,0.748298199
20150618,-1.930738641,-1.238547608,-1.001470811,-1.096106629,-1.137489011,-0.271396633,-0.982895705,-1.49693929,-1.387989401,0.11121352,-0.397632806,-0.671084993,-1.04101103,-1.122928751,-1.115641271,-0.229738183,-0.775614428,-2.061686693
20150617,0.88815354,-0.251379578,-0.700446356,-0.56742619,-0.733562487,0.007762942,0.409515728,0.009671428,0.020568938,-0.550327846,0.831986045,-0.067390568,-0.329822691,-0.306797435,0.031882607,0.02723791,-0.071995709,-0.126554578
