Date,AUD,CAD,CHF,GBP,IDR,JPY,KRW,MYR,NOK,NZD,PHP,RUB,SEK,SGD,THB,TRY,USD,ZAR
20090514,1.297321478,0.877968671,-0.006642753,-0.188930874,-0.019794309,-1.138273491,1.420765674,0.181144332,-0.090497738,1.393467845,0.512613396,0.274797744,1.112414926,-0.260743118,-0.280612245,0.832784417,-0.440431623,1.801214145
20090513,0.13999328,-0.208005043,-0.225344645,0.71636445,-0.539115512,-1.504890895,-0.316888941,-0.070741958,1.017026626,0.860119707,-0.103967848,-0.678460364,0.289028225,0.100386488,-0.511822681,-0.444985714,-0.438500329,-0.131157224
20090512,0.12895991,1.20566471,0.205884306,-0.578677943,0.400571881,0.060231893,1.188272526,0.689250623,0.563088945,0.07986866,0.538238323,0.047637933,0.962881992,0.443660197,0.642826735,1.007759273,0.803005746,0.941650958
20090511,0.751327534,0.603260172,-0.561352529,0.886942854,1.435931415,-0.404919016,0.369786579,1.094967808,0.700109935,0.026629976,1.444963203,0.629845406,0.08085997,0.808091075,0.384615385,1.454423271,1.109869646,1.344386984
20090508,0.631004491,0.083499261,-0.158248714,0.678195999,0.169600726,0.482218204,-0.7618923,0.250541424,0.249419954,0.65222247,0.052254877,-0.072198856,0.334065095,0.433872697,0.364572164,1.126158924,0.463967672,0.861257741
20090507,-1.819501033,-0.764867104,0.510305521,-0.157995712,0.042706359,1.181672639,-1.268974427,0.053109001,-1.316542645,-2.065012906,-0.571518539,-0.243506494,-1.309344386,-0.305327973,-0.484452697,-1.571906355,0.307761597,-1.462419527
20090506,-0.450050006,0.127640564,-0.158803679,0.022575912,-1.56762834,-1.070970661,0.155854849,0.059517483,0.552549787,-0.595807602,-0.836833149,-0.472197253,0.27865678,-0.314513265,-0.427132475,0.057366861,-0.604342311,1.689177054
20090505,-0.177481974,-0.076525732,0.13251176,-0.427110262,1.504069399,0.813564477,1.376691052,0.745229886,-0.03452244,-0.618057657,0.750306729,0.535352727,-0.750011719,0.479127377,1.015348288,-0.603468757,1.361264463,0.661700897
20090504,-0.639259341,-0.665146332,0.17921147,-0.408574467,-1.235618093,0.905324536,-1.159186271,-1.189191477,-0.395438134,-1.030883737,-0.547525186,-0.349953264,-0.233830613,-0.00509684,-0.476414288,-0.472925041,-0.391713748,-1.602832085
20090430,-1.562330476,-0.978547234,0.013276686,-0.600834492,-1.830693788,1.408231541,-4.23117081,-0.699697428,-0.085890976,0.624112254,-1.219229521,-0.152515365,-0.633846669,-0.44651918,-0.228072045,-0.174676612,0.067842605,-0.609114618
20090429,-0.415968883,0.15077271,0.172895332,0.943449205,1.405063918,2.75823473,0.802161855,0.997410976,-0.365130078,-0.33033033,1.934315193,0.593070917,0.113514771,1.045939295,1.878393051,-0.516625963,2.108990148,-1.348322446
20090428,0.61966625,-0.219394471,-0.265287173,-1.154593394,-0.510353109,-1.37202334,-0.184554231,-0.188515388,0.011411617,0.327106826,-0.39068629,-0.442266044,0.188304606,-0.677292866,-1.027338377,-0.295012878,-1.013333333,-0.993852105
20090427,-0.02717096,-1.042118975,-0.158919348,-0.579470199,-0.579053585,-1.153546376,-0.622449959,-0.489007862,0.84004603,-0.257577058,-0.219181514,-0.286422223,-0.957436986,-0.284365003,-0.655492687,-0.032768467,-0.808645707,-1.130310067
20090424,0.535402098,0.08070524,-0.185062789,1.025869759,0.234479169,0.015590895,0.725300835,0.357490375,0,0.15478545,0.938685209,0.122903248,-0.776855567,0.505256711,1.109647892,0.056206089,1.394636015,0.694587717
20090423,-0.359281437,0.012417733,0.059519873,0.968250394,1.02676898,1.127315727,0.653374145,0.188619265,-0.804748587,-0.047273196,0.391858233,-0.051183476,-1.102604757,0.435696345,0.597228858,0.168903068,0.795551093,0.334655856
20090422,-0.750986007,0.342657778,0.046314675,-0.04501463,0.346143044,0.023655575,0.220756881,0.114574272,-0.380941551,-0.334090033,0.531100478,-0.500671108,-1.239262706,0.082080747,0.130474492,-0.915810516,0.115991339,-2.004868483
20090421,0.668987273,0.412887082,-0.395413207,-0.112410072,0.991491855,-0.766823161,0.780121352,0.067941995,0.017059994,0.855328524,0.642054575,0.90050792,0.521676561,-0.35272467,-0.305677803,1.223471837,-0.262224279,0.511426387
